610.880	1	1	592
610.967	1	1	599
611.054	1	1	608
611.141	1	1	607
611.228	1	1	626
611.315	1	1	625
611.402	1	1	628
611.489	1	1	638
611.576	1	1	644
611.663	1	1	657
611.750	1	1	664
611.836	1	1	677
611.923	1	1	658
612.010	1	1	673
612.097	1	1	649
612.184	1	1	645
612.271	1	1	637
612.358	1	1	627
612.445	1	1	613
612.532	1	1	625
612.619	1	1	610
612.706	1	1	626
612.792	1	1	622
612.879	1	1	610
612.966	1	1	614
613.053	1	1	623
613.140	1	1	617
613.227	1	1	619
613.314	1	1	615
613.400	1	1	613
613.487	1	1	608
613.574	1	1	611
613.661	1	1	622
613.748	1	1	601
613.834	1	1	611
613.921	1	1	611
614.008	1	1	620
614.095	1	1	607
614.182	1	1	612
614.268	1	1	619
614.355	1	1	601
614.442	1	1	612
614.529	1	1	612
614.615	1	1	614
614.702	1	1	613
614.789	1	1	615
614.876	1	1	612
614.962	1	1	614
615.049	1	1	610
615.136	1	1	617
615.222	1	1	608
615.309	1	1	623
615.396	1	1	610
615.482	1	1	607
615.569	1	1	610
615.656	1	1	612
615.742	1	1	607
615.829	1	1	612
615.916	1	1	626
616.002	1	1	609
616.089	1	1	609
616.176	1	1	612
616.262	1	1	602
616.349	1	1	613
616.436	1	1	605
616.522	1	1	601
616.609	1	1	628
616.695	1	1	596
616.782	1	1	605
616.869	1	1	613
616.955	1	1	600
617.042	1	1	608
617.128	1	1	613
617.215	1	1	619
617.301	1	1	604
617.388	1	1	612
617.474	1	1	604
617.561	1	1	611
617.648	1	1	603
617.734	1	1	611
617.821	1	1	613
617.907	1	1	605
617.994	1	1	620
618.080	1	1	617
618.167	1	1	608
618.253	1	1	600
618.340	1	1	602
618.426	1	1	617
618.512	1	1	607
618.599	1	1	611
618.685	1	1	606
618.772	1	1	613
618.858	1	1	601
618.945	1	1	616
619.031	1	1	621
619.118	1	1	608
619.204	1	1	614
619.290	1	1	606
619.377	1	1	617
619.463	1	1	610
619.550	1	1	618
619.636	1	1	607
619.722	1	1	612
619.809	1	1	618
619.895	1	1	611
619.981	1	1	623
620.068	1	1	611
620.154	1	1	625
620.240	1	1	617
620.327	1	1	620
620.413	1	1	637
620.499	1	1	626
620.586	1	1	629
620.672	1	1	634
620.758	1	1	631
620.845	1	1	633
620.931	1	1	628
621.017	1	1	615
621.104	1	1	632
621.190	1	1	627
621.276	1	1	630
621.362	1	1	649
621.449	1	1	652
621.535	1	1	655
621.621	1	1	661
621.707	1	1	662
621.794	1	1	650
621.880	1	1	658
621.966	1	1	665
622.052	1	1	694
622.138	1	1	668
622.225	1	1	686
622.311	1	1	691
622.397	1	1	694
622.483	1	1	691
622.569	1	1	687
622.656	1	1	713
622.742	1	1	723
622.828	1	1	713
622.914	1	1	709
623.000	1	1	717
623.086	1	1	734
623.172	1	1	737
623.259	1	1	740
623.345	1	1	772
623.431	1	1	773
623.517	1	1	795
623.603	1	1	794
623.689	1	1	788
623.775	1	1	789
623.861	1	1	782
623.947	1	1	814
624.033	1	1	798
624.119	1	1	805
624.205	1	1	869
624.292	1	1	861
624.378	1	1	859
624.464	1	1	851
624.550	1	1	825
624.636	1	1	901
624.722	1	1	879
624.808	1	1	921
624.894	1	1	938
624.980	1	1	922
625.066	1	1	920
625.152	1	1	903
625.238	1	1	947
625.324	1	1	953
625.410	1	1	923
625.496	1	1	983
625.582	1	1	976
625.668	1	1	946
625.753	1	1	979
625.839	1	1	977
625.925	1	1	1083
626.011	1	1	958
626.097	1	1	1022
626.183	1	1	1014
626.269	1	1	1021
626.355	1	1	1046
626.441	1	1	1011
626.527	1	1	1064
626.613	1	1	1047
626.698	1	1	1045
626.784	1	1	995
626.870	1	1	1027
626.956	1	1	1035
627.042	1	1	1027
627.128	1	1	1031
627.214	1	1	1127
627.299	1	1	1101
627.385	1	1	1042
627.471	1	1	1084
627.557	1	1	1053
627.643	1	1	1038
627.729	1	1	1014
627.814	1	1	1092
627.900	1	1	1054
627.986	1	1	1042
628.072	1	1	1125
628.157	1	1	1075
628.243	1	1	1094
628.329	1	1	1075
628.415	1	1	1058
628.500	1	1	1078
628.586	1	1	1086
628.672	1	1	1085
628.758	1	1	1036
628.843	1	1	1105
628.929	1	1	1073
629.015	1	1	1060
